Time,Temp,CloneID,Plate,Col,Rep,Active,propActive
0,25,2.4,A,1,1,26,1
0,25,2.4,A,1,2,31,1
0,25,2.4,A,1,3,21,1
0,25,2.5,A,2,1,32,1
0,25,2.5,A,2,2,15,1
0,25,2.5,A,2,3,13,1
0,25,1.2,A,3,1,5,1
0,25,1.2,A,3,2,6,1
0,25,1.2,A,3,3,8,1
0,25,2.3,A,4,1,13,1
0,25,2.3,A,4,2,12,1
0,25,2.3,A,4,3,13,1
0,25,2.5,A,5,4,17,1
0,25,2.5,A,5,5,18,1
0,25,2.5,A,5,6,20,1
0,25,1.7,A,6,1,15,1
0,25,1.7,A,6,2,12,1
0,25,1.7,A,6,3,16,1
0,25,2.3,B,1,4,14,1
0,25,2.3,B,1,5,25,1
0,25,2.3,B,1,6,12,1
0,25,1.5,B,2,1,25,1
0,25,1.5,B,2,2,10,1
0,25,1.5,B,2,3,10,1
0,25,1.2,B,3,4,9,1
0,25,1.2,B,3,5,6,1
0,25,1.2,B,3,6,7,1
0,25,2.5,B,4,7,19,1
0,25,2.5,B,4,8,15,1
0,25,2.5,B,4,9,23,1
0,25,1.7,B,5,4,10,1
0,25,1.7,B,5,5,12,1
0,25,1.7,B,5,6,11,1
0,25,1.5,B,6,4,13,1
0,25,1.5,B,6,5,8,1
0,25,1.5,B,6,6,9,1
0,25,1.7,C,1,7,15,1
0,25,1.7,C,1,8,14,1
0,25,1.7,C,1,9,10,1
0,25,1.2,C,2,7,11,1
0,25,1.2,C,2,8,9,1
0,25,1.2,C,2,9,9,1
0,25,2.4,C,3,4,29,1
0,25,2.4,C,3,5,37,1
0,25,2.4,C,3,6,30,1
0,25,1.5,C,4,7,7,1
0,25,1.5,C,4,8,16,1
0,25,1.5,C,4,9,15,1
0,25,1.7,C,5,10,10,1
0,25,1.7,C,5,11,9,1
0,25,1.7,C,5,12,20,1
0,25,2.3,C,6,7,17,1
0,25,2.3,C,6,8,15,1
0,25,2.3,C,6,9,14,1
0,25,2.3,D,1,10,23,1
0,25,2.3,D,1,11,14,1
0,25,2.3,D,1,12,12,1
0,25,1.5,D,2,10,9,1
0,25,1.5,D,2,11,16,1
0,25,1.5,D,2,12,7,1
0,25,2.4,D,3,7,32,1
0,25,2.4,D,3,8,36,1
0,25,2.4,D,3,9,28,1
0,25,2.5,D,4,10,14,1
0,25,2.5,D,4,11,18,1
0,25,2.5,D,4,12,23,1
0,25,1.2,D,5,10,20,1
0,25,1.2,D,5,11,11,1
0,25,1.2,D,5,12,11,1
0,25,2.4,D,6,10,30,1
0,25,2.4,D,6,11,28,1
0,25,2.4,D,6,12,23,1
60,27.5,2.4,A,1,1,25,0.961538462
60,27.5,2.4,A,1,2,31,1
60,27.5,2.4,A,1,3,19,0.904761905
60,27.5,2.5,A,2,1,27,0.84375
60,27.5,2.5,A,2,2,4,0.266666667
60,27.5,2.5,A,2,3,7,0.538461538
60,27.5,1.2,A,3,1,4,0.8
60,27.5,1.2,A,3,2,7,1
60,27.5,1.2,A,3,3,7,0.875
60,27.5,2.3,A,4,1,9,0.692307692
60,27.5,2.3,A,4,2,10,0.833333333
60,27.5,2.3,A,4,3,7,0.538461538
60,27.5,2.5,A,5,4,10,0.588235294
60,27.5,2.5,A,5,5,13,0.722222222
60,27.5,2.5,A,5,6,14,0.7
60,27.5,1.7,A,6,1,13,0.866666667
60,27.5,1.7,A,6,2,10,0.833333333
60,27.5,1.7,A,6,3,12,0.75
60,27.5,2.3,B,1,4,8,0.571428571
60,27.5,2.3,B,1,5,8,0.32
60,27.5,2.3,B,1,6,7,0.583333333
60,27.5,1.5,B,2,1,23,0.92
60,27.5,1.5,B,2,2,11,1
60,27.5,1.5,B,2,3,12,1
60,27.5,1.2,B,3,4,7,0.777777778
60,27.5,1.2,B,3,5,7,1
60,27.5,1.2,B,3,6,8,1
60,27.5,2.5,B,4,7,7,0.368421053
60,27.5,2.5,B,4,8,8,0.533333333
60,27.5,2.5,B,4,9,10,0.434782609
60,27.5,1.7,B,5,4,10,1
60,27.5,1.7,B,5,5,10,0.833333333
60,27.5,1.7,B,5,6,9,0.818181818
60,27.5,1.5,B,6,4,8,0.615384615
60,27.5,1.5,B,6,5,10,1
60,27.5,1.5,B,6,6,4,0.444444444
60,27.5,1.7,C,1,7,11,0.733333333
60,27.5,1.7,C,1,8,12,0.857142857
60,27.5,1.7,C,1,9,9,0.9
60,27.5,1.2,C,2,7,10,0.909090909
60,27.5,1.2,C,2,8,13,1
60,27.5,1.2,C,2,9,9,1
60,27.5,2.4,C,3,4,31,1
60,27.5,2.4,C,3,5,34,0.918918919
60,27.5,2.4,C,3,6,36,1
60,27.5,1.5,C,4,7,11,1
60,27.5,1.5,C,4,8,17,1
60,27.5,1.5,C,4,9,12,0.8
60,27.5,1.7,C,5,10,9,0.9
60,27.5,1.7,C,5,11,7,0.777777778
60,27.5,1.7,C,5,12,17,0.85
60,27.5,2.3,C,6,7,17,1
60,27.5,2.3,C,6,8,12,0.8
60,27.5,2.3,C,6,9,11,0.785714286
60,27.5,2.3,D,1,10,11,0.47826087
60,27.5,2.3,D,1,11,8,0.571428571
60,27.5,2.3,D,1,12,7,0.583333333
60,27.5,1.5,D,2,10,7,0.777777778
60,27.5,1.5,D,2,11,11,0.6875
60,27.5,1.5,D,2,12,7,1
60,27.5,2.4,D,3,7,33,1
60,27.5,2.4,D,3,8,33,0.916666667
60,27.5,2.4,D,3,9,28,1
60,27.5,2.5,D,4,10,6,0.428571429
60,27.5,2.5,D,4,11,9,0.5
60,27.5,2.5,D,4,12,18,0.782608696
60,27.5,1.2,D,5,10,14,0.7
60,27.5,1.2,D,5,11,10,0.909090909
60,27.5,1.2,D,5,12,13,1
60,27.5,2.4,D,6,10,27,0.9
60,27.5,2.4,D,6,11,25,0.892857143
60,27.5,2.4,D,6,12,23,1
120,30,2.4,A,1,1,24,0.923076923
120,30,2.4,A,1,2,25,0.806451613
120,30,2.4,A,1,3,20,0.952380952
120,30,2.5,A,2,1,16,0.5
120,30,2.5,A,2,2,1,0.066666667
120,30,2.5,A,2,3,2,0.153846154
120,30,1.2,A,3,1,7,1
120,30,1.2,A,3,2,9,1
120,30,1.2,A,3,3,8,1
120,30,2.3,A,4,1,6,0.461538462
120,30,2.3,A,4,2,8,0.666666667
120,30,2.3,A,4,3,7,0.538461538
120,30,2.5,A,5,4,3,0.176470588
120,30,2.5,A,5,5,6,0.333333333
120,30,2.5,A,5,6,6,0.3
120,30,1.7,A,6,1,8,0.533333333
120,30,1.7,A,6,2,8,0.666666667
120,30,1.7,A,6,3,12,0.75
120,30,2.3,B,1,4,4,0.285714286
120,30,2.3,B,1,5,11,0.44
120,30,2.3,B,1,6,8,0.666666667
120,30,1.5,B,2,1,21,0.84
120,30,1.5,B,2,2,10,1
120,30,1.5,B,2,3,12,1
120,30,1.2,B,3,4,8,0.888888889
120,30,1.2,B,3,5,7,1
120,30,1.2,B,3,6,9,1
120,30,2.5,B,4,7,3,0.157894737
120,30,2.5,B,4,8,3,0.2
120,30,2.5,B,4,9,4,0.173913043
120,30,1.7,B,5,4,9,0.9
120,30,1.7,B,5,5,9,0.75
120,30,1.7,B,5,6,8,0.727272727
120,30,1.5,B,6,4,8,0.615384615
120,30,1.5,B,6,5,7,0.875
120,30,1.5,B,6,6,6,0.666666667
120,30,1.7,C,1,7,10,0.666666667
120,30,1.7,C,1,8,6,0.428571429
120,30,1.7,C,1,9,6,0.6
120,30,1.2,C,2,7,9,0.818181818
120,30,1.2,C,2,8,14,1
120,30,1.2,C,2,9,9,1
120,30,2.4,C,3,4,30,1
120,30,2.4,C,3,5,36,0.972972973
120,30,2.4,C,3,6,20,0.666666667
120,30,1.5,C,4,7,9,1
120,30,1.5,C,4,8,12,0.75
120,30,1.5,C,4,9,10,0.666666667
120,30,1.7,C,5,10,5,0.5
120,30,1.7,C,5,11,7,0.777777778
120,30,1.7,C,5,12,13,0.65
120,30,2.3,C,6,7,12,0.705882353
120,30,2.3,C,6,8,10,0.666666667
120,30,2.3,C,6,9,9,0.642857143
120,30,2.3,D,1,10,7,0.304347826
120,30,2.3,D,1,11,8,0.571428571
120,30,2.3,D,1,12,7,0.583333333
120,30,1.5,D,2,10,7,0.777777778
120,30,1.5,D,2,11,13,0.8125
120,30,1.5,D,2,12,5,0.714285714
120,30,2.4,D,3,7,32,1
120,30,2.4,D,3,8,22,0.611111111
120,30,2.4,D,3,9,30,1
120,30,2.5,D,4,10,1,0.071428571
120,30,2.5,D,4,11,3,0.166666667
120,30,2.5,D,4,12,10,0.434782609
120,30,1.2,D,5,10,16,0.8
120,30,1.2,D,5,11,13,1
120,30,1.2,D,5,12,12,1
120,30,2.4,D,6,10,30,1
120,30,2.4,D,6,11,21,0.75
120,30,2.4,D,6,12,19,0.826086957
180,32.5,2.4,A,1,1,24,0.923076923
180,32.5,2.4,A,1,2,26,0.838709677
180,32.5,2.4,A,1,3,19,0.904761905
180,32.5,2.5,A,2,1,7,0.21875
180,32.5,2.5,A,2,2,2,0.133333333
180,32.5,2.5,A,2,3,3,0.230769231
180,32.5,1.2,A,3,1,5,1
180,32.5,1.2,A,3,2,12,1
180,32.5,1.2,A,3,3,10,1
180,32.5,2.3,A,4,1,4,0.307692308
180,32.5,2.3,A,4,2,8,0.666666667
180,32.5,2.3,A,4,3,6,0.461538462
180,32.5,2.5,A,5,4,2,0.117647059
180,32.5,2.5,A,5,5,2,0.111111111
180,32.5,2.5,A,5,6,5,0.25
180,32.5,1.7,A,6,1,8,0.533333333
180,32.5,1.7,A,6,2,6,0.5
180,32.5,1.7,A,6,3,10,0.625
180,32.5,2.3,B,1,4,3,0.214285714
180,32.5,2.3,B,1,5,5,0.2
180,32.5,2.3,B,1,6,3,0.25
180,32.5,1.5,B,2,1,23,0.92
180,32.5,1.5,B,2,2,10,1
180,32.5,1.5,B,2,3,11,1
180,32.5,1.2,B,3,4,5,0.555555556
180,32.5,1.2,B,3,5,7,1
180,32.5,1.2,B,3,6,11,1
180,32.5,2.5,B,4,7,1,0.052631579
180,32.5,2.5,B,4,8,2,0.133333333
180,32.5,2.5,B,4,9,3,0.130434783
180,32.5,1.7,B,5,4,8,0.8
180,32.5,1.7,B,5,5,6,0.5
180,32.5,1.7,B,5,6,6,0.545454545
180,32.5,1.5,B,6,4,6,0.461538462
180,32.5,1.5,B,6,5,6,0.75
180,32.5,1.5,B,6,6,9,1
180,32.5,1.7,C,1,7,4,0.266666667
180,32.5,1.7,C,1,8,5,0.357142857
180,32.5,1.7,C,1,9,5,0.5
180,32.5,1.2,C,2,7,9,0.818181818
180,32.5,1.2,C,2,8,9,1
180,32.5,1.2,C,2,9,8,0.888888889
180,32.5,2.4,C,3,4,30,1
180,32.5,2.4,C,3,5,26,0.702702703
180,32.5,2.4,C,3,6,20,0.666666667
180,32.5,1.5,C,4,7,11,1
180,32.5,1.5,C,4,8,12,0.75
180,32.5,1.5,C,4,9,15,1
180,32.5,1.7,C,5,10,7,0.7
180,32.5,1.7,C,5,11,5,0.555555556
180,32.5,1.7,C,5,12,12,0.6
180,32.5,2.3,C,6,7,8,0.470588235
180,32.5,2.3,C,6,8,7,0.466666667
180,32.5,2.3,C,6,9,8,0.571428571
180,32.5,2.3,D,1,10,4,0.173913043
180,32.5,2.3,D,1,11,7,0.5
180,32.5,2.3,D,1,12,7,0.583333333
180,32.5,1.5,D,2,10,9,1
180,32.5,1.5,D,2,11,8,0.5
180,32.5,1.5,D,2,12,6,0.857142857
180,32.5,2.4,D,3,7,31,0.96875
180,32.5,2.4,D,3,8,20,0.555555556
180,32.5,2.4,D,3,9,20,0.714285714
180,32.5,2.5,D,4,10,1,0.071428571
180,32.5,2.5,D,4,11,2,0.111111111
180,32.5,2.5,D,4,12,7,0.304347826
180,32.5,1.2,D,5,10,14,0.7
180,32.5,1.2,D,5,11,11,1
180,32.5,1.2,D,5,12,13,1
180,32.5,2.4,D,6,10,26,0.866666667
180,32.5,2.4,D,6,11,20,0.714285714
180,32.5,2.4,D,6,12,20,0.869565217
240,35,2.4,A,1,1,10,0.384615385
240,35,2.4,A,1,2,22,0.709677419
240,35,2.4,A,1,3,8,0.380952381
240,35,2.5,A,2,1,5,0.15625
240,35,2.5,A,2,2,2,0.133333333
240,35,2.5,A,2,3,1,0.076923077
240,35,1.2,A,3,1,4,0.8
240,35,1.2,A,3,2,8,1
240,35,1.2,A,3,3,10,1
240,35,2.3,A,4,1,3,0.230769231
240,35,2.3,A,4,2,4,0.333333333
240,35,2.3,A,4,3,3,0.230769231
240,35,2.5,A,5,4,1,0.058823529
240,35,2.5,A,5,5,1,0.055555556
240,35,2.5,A,5,6,2,0.1
240,35,1.7,A,6,1,4,0.266666667
240,35,1.7,A,6,2,2,0.166666667
240,35,1.7,A,6,3,10,0.625
240,35,2.3,B,1,4,2,0.142857143
240,35,2.3,B,1,5,1,0.04
240,35,2.3,B,1,6,1,0.083333333
240,35,1.5,B,2,1,19,0.76
240,35,1.5,B,2,2,9,0.9
240,35,1.5,B,2,3,10,1
240,35,1.2,B,3,4,8,0.888888889
240,35,1.2,B,3,5,8,1
240,35,1.2,B,3,6,10,1
240,35,2.5,B,4,7,2,0.105263158
240,35,2.5,B,4,8,2,0.133333333
240,35,2.5,B,4,9,3,0.130434783
240,35,1.7,B,5,4,6,0.6
240,35,1.7,B,5,5,4,0.333333333
240,35,1.7,B,5,6,5,0.454545455
240,35,1.5,B,6,4,6,0.461538462
240,35,1.5,B,6,5,7,0.875
240,35,1.5,B,6,6,5,0.555555556
240,35,1.7,C,1,7,4,0.266666667
240,35,1.7,C,1,8,5,0.357142857
240,35,1.7,C,1,9,3,0.3
240,35,1.2,C,2,7,11,1
240,35,1.2,C,2,8,14,1
240,35,1.2,C,2,9,6,0.666666667
240,35,2.4,C,3,4,16,0.551724138
240,35,2.4,C,3,5,17,0.459459459
240,35,2.4,C,3,6,15,0.5
240,35,1.5,C,4,7,10,1
240,35,1.5,C,4,8,12,0.75
240,35,1.5,C,4,9,17,1
240,35,1.7,C,5,10,3,0.3
240,35,1.7,C,5,11,4,0.444444444
240,35,1.7,C,5,12,9,0.45
240,35,2.3,C,6,7,1,0.058823529
240,35,2.3,C,6,8,4,0.266666667
240,35,2.3,C,6,9,7,0.5
240,35,2.3,D,1,10,6,0.260869565
240,35,2.3,D,1,11,3,0.214285714
240,35,2.3,D,1,12,4,0.333333333
240,35,1.5,D,2,10,9,1
240,35,1.5,D,2,11,15,0.9375
240,35,1.5,D,2,12,2,0.285714286
240,35,2.4,D,3,7,25,0.78125
240,35,2.4,D,3,8,15,0.416666667
240,35,2.4,D,3,9,21,0.75
240,35,2.5,D,4,10,1,0.071428571
